horizon,distance_ticks,n_observations,p_fill_bid,p_fill_ask,p_fill_mean
1,1,5999,0.11201866977829639,0.08334722453742291,0.09768294715785965
1,2,5999,0.10651775295882647,0.0815135855975996,0.09401566927821303
1,3,5999,0.10601766961160193,0.08134689114852475,0.09368228038006335
1,4,5999,0.10568428071345225,0.08134689114852475,0.09351558593098849
1,5,5999,0.10551758626437739,0.08134689114852475,0.09343223870645107
1,7,5999,0.10518419736622771,0.08118019669944991,0.09318219703283881
1,10,5999,0.10501750291715285,0.08068011335222537,0.09284880813468911
1,13,5999,0.10485080846807801,0.08068011335222537,0.0927654609101517
1,17,5999,0.10451741956992833,0.08018003000500083,0.09234872478746459
1,23,5999,0.10351725287547925,0.0796799466577763,0.09159859976662776
1,30,5999,0.10285047507917987,0.07917986331055175,0.09101516919486581
1,40,5999,0.10151691948658109,0.07867977996332721,0.09009834972495415
1,53,5999,0.10051675279213203,0.07834639106517753,0.08943157192865478
1,70,5999,0.09801633605600933,0.07701283547257877,0.08751458576429405
1,93,5999,0.09434905817636273,0.07551258543090515,0.08493082180363394
1,123,5999,0.09001500250041673,0.07301216869478247,0.08151358559759961
1,164,5999,0.08184697449574929,0.06801133522253709,0.0749291548591432
1,217,5999,0.07084514085680947,0.061510251708618104,0.06617769628271379
1,289,5999,0.061676946157692945,0.055509251541923654,0.0585930988498083
1,383,5999,0.054009001500250044,0.048341390231705285,0.051175195865977664
1,509,5999,0.040506751125187535,0.03817302883813969,0.039339889981663614
1,675,5999,0.027504584097349558,0.02900483413902317,0.028254709118186366
1,896,5999,0.018003000500083348,0.020836806134355727,0.019419903317219538
1,1190,5999,0.010668444740790132,0.013668944824137356,0.012168694782463744
1,1580,5999,0.005500916819469912,0.007501250208368062,0.006501083513918987
1,2097,5999,0.001666944490748458,0.004167361226871145,0.002917152858809801
1,2784,5999,0.0010001666944490749,0.0018336389398233039,0.0014169028171361893
1,3695,5999,0.0005000833472245374,0.000833472245374229,0.0006667777962993832
3,1,5997,0.24028681007170252,0.18992829748207438,0.21510755377688845
3,2,5997,0.231949307987327,0.18642654660663666,0.20918792729698182
3,3,5997,0.23094880773720194,0.18642654660663666,0.2086876771719193
3,4,5997,0.23028180757045189,0.18625979656494915,0.20827080206770052
3,5,5997,0.22994830748707687,0.18625979656494915,0.208104052026013
3,7,5997,0.22928130732032684,0.18609304652326164,0.20768717692179423
3,10,5997,0.22911455727863933,0.18542604635651158,0.20727030181757544
3,13,5997,0.22861430715357678,0.18542604635651158,0.2070201767550442
3,17,5997,0.22811405702851426,0.18459229614807404,0.20635317658829416
3,23,5997,0.22594630648657663,0.18342504585626146,0.20468567617141903
3,30,5997,0.224112056028014,0.18275804568951143,0.20343505085876273
3,40,5997,0.22127730531932632,0.1824245456061364,0.20185092546273137
3,53,5997,0.21977655494413872,0.18192429548107386,0.2008504252126063
