timestamp,mid_price,inventory_before,inventory,cash,pnl,quote_bid,quote_ask,risk_reason,n_fills,net_fill_quantity,reservation_price,optimal_spread,inventory_risk_spread,execution_spread,half_spread,imbalance_skew,bid_price,ask_price,quote_spread,cash_before
2026-09-04 00:22:57.565054+00:00,81230.61499999999,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81230.61499999999,17.071868065384407,0.0008814518935444313,17.070986613490863,8.535934032692204,0.004692913964390755,81222.08,81239.16,17.080000000001746,
2026-09-04 00:22:58.565369+00:00,81230.61499999999,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81230.61499999999,17.071868065384407,0.0008814518935444313,17.070986613490863,8.535934032692204,0.004253300590789877,81222.08,81239.16,17.080000000001746,
2026-09-04 00:22:59.563629+00:00,81230.61499999999,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81230.61499999999,17.071868065384407,0.0008814518935444313,17.070986613490863,8.535934032692204,0.0041630055056884885,81222.08,81239.16,17.080000000001746,
2026-09-04 00:23:00.567273+00:00,81246.655,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81246.655,17.07211691854473,0.0011303050538677977,17.070986613490863,8.536058459272365,0.004922156600514427,81238.12,81255.2,17.080000000001746,
2026-09-04 00:23:01.567845+00:00,81250.535,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81250.535,17.07212889408631,0.001142280595443981,17.070986613490863,8.536064447043154,0.004667672605137341,81242.0,81259.08,17.080000000001746,
2026-09-04 00:23:02.568911+00:00,81250.535,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81250.535,17.07212889408631,0.001142280595443981,17.070986613490863,8.536064447043154,0.0046379482228076085,81242.0,81259.08,17.080000000001746,
2026-09-04 00:23:03.574585+00:00,81250.535,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81250.535,17.07212889408631,0.001142280595443981,17.070986613490863,8.536064447043154,0.004297753985156305,81242.0,81259.08,17.080000000001746,
2026-09-04 00:23:04.567161+00:00,81250.535,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81250.535,17.07212889408631,0.001142280595443981,17.070986613490863,8.536064447043154,0.004365795801277272,81242.0,81259.08,17.080000000001746,
2026-09-04 00:23:05.576734+00:00,81257.775,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81257.775,17.072174546579028,0.0011879330881658296,17.070986613490863,8.536087273289514,0.0034823896567104384,81249.24,81266.32,17.080000000001746,
2026-09-04 00:23:06.570991+00:00,81257.775,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81257.775,17.072174546579028,0.0011879330881658296,17.070986613490863,8.536087273289514,0.004356581746833399,81249.24,81266.32,17.080000000001746,
2026-09-04 00:23:07.576586+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,0.004760347699630074,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:08.576017+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,0.004426727144164033,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:09.569009+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,0.004428801839821972,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:10.572083+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,0.004434825590578839,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:11.575200+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0005603874888038263,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:12.577099+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0017533773498144,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:13.686026+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0004393576964503154,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:14.574870+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0006557836604770273,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:15.573391+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0006532817060360685,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:16.631839+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,9.88454557955265e-05,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:17.577659+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,0.00033890886697918177,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:18.574040+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,0.0003321222175145522,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:19.584048+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0007049938285490498,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:20.579039+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.002010707452427596,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:21.576273+00:00,81263.995,0.0,0.0,0.0,0.0,True,True,ok,0,0.0,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0021582119079539552,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:22.580999+00:00,81263.995,0.0,-0.001,81.256285492,-0.007709507999990706,True,True,ok,1,-0.001,81263.995,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0005244814965408295,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:23.581898+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99622010767,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0022182085376698524,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:24.581603+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99622010767,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0018481775332475081,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:25.582285+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99622010767,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.004552183207124472,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:26.583663+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99622010767,17.07220672117264,0.0012201076817775897,17.070986613490863,8.53610336058632,-0.0027151854155818,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:27.581840+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99618813493,17.072174748420764,0.0011881349299022433,17.070986613490863,8.536087374210382,-0.002848464820999652,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:28.577358+00:00,81258.505,-0.001,-0.001,81.256285492,-0.00221950799999604,True,True,ok,0,0.0,81258.50622525084,17.072211864326363,0.0012252508355013038,17.070986613490863,8.536105932163181,9.579487959854305e-05,81249.97,81267.05,17.080000000001746,
2026-09-04 00:23:29.580995+00:00,81258.505,-0.001,-0.001,81.256285492,-0.00221950799999604,True,True,ok,0,0.0,81258.50622525084,17.072211864326363,0.0012252508355013038,17.070986613490863,8.536105932163181,0.0014502661069855094,81249.97,81267.05,17.080000000001746,
2026-09-04 00:23:30.589205+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.003597007322241552,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:31.587018+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.002393464761553332,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:32.581041+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.0028053881687810645,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:33.590204+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.0031169366266112775,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:34.586588+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.003109461147687398,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:35.584417+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.0032805441005621105,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:36.591576+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99624895635,17.072235569842146,0.0012489563512825665,17.070986613490863,8.536117784921073,0.0025624575064284727,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:37.586644+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99608953732,17.07207615081662,0.0010895373257560309,17.070986613490863,8.53603807540831,-0.0007179150416050106,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:38.588169+00:00,81263.995,-0.001,-0.001,81.256285492,-0.007709507999990706,True,True,ok,0,0.0,81263.99608953732,17.07207615081662,0.0010895373257560309,17.070986613490863,8.53603807540831,0.0006578708853339776,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:39.584735+00:00,81263.995,-0.001,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,1,0.001,81263.9960807399,17.072067353401625,0.0010807399107610727,17.070986613490863,8.536033676700812,0.0010316713596694171,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:40.591016+00:00,81263.995,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81263.995,17.071992438279146,0.001005824788284902,17.070986613490863,8.535996219139573,0.0018082089518429711,81255.46,81272.54000000001,17.080000000001746,
2026-09-04 00:23:41.590173+00:00,81263.995,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81263.995,17.07199171749983,0.0010051040089694946,17.070986613490863,8.535995858749915,-0.0005309713014867157,81255.45,81272.54000000001,17.09000000001106,
2026-09-04 00:23:42.586179+00:00,81263.995,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81263.995,17.071966084992567,0.0009794715017033945,17.070986613490863,8.535983042496284,-0.003992265788838267,81255.45,81272.53,17.080000000001746,
2026-09-04 00:23:43.595394+00:00,81256.86499999999,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81256.86499999999,17.072020653176647,0.001034039685785576,17.070986613490863,8.536010326588324,-0.0040152686851797625,81248.32,81265.40000000001,17.080000000001746,
2026-09-04 00:23:44.648847+00:00,81256.86499999999,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81256.86499999999,17.072020653176647,0.001034039685785576,17.070986613490863,8.536010326588324,-0.0034284836874576285,81248.32,81265.40000000001,17.080000000001746,
2026-09-04 00:23:45.593730+00:00,81256.86499999999,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81256.86499999999,17.072020653176647,0.001034039685785576,17.070986613490863,8.536010326588324,0.003261865727836266,81248.33,81265.41,17.080000000001746,
2026-09-04 00:23:46.591158+00:00,81256.86499999999,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81256.86499999999,17.071647648313157,0.0006610348222939137,17.070986613490863,8.535823824156578,0.0011369578132871538,81248.33,81265.41,17.080000000001746,
2026-09-04 00:23:47.600147+00:00,81262.58499999999,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81262.58499999999,17.07167975062125,0.0006931371303887496,17.070986613490863,8.535839875310625,0.004991936410078779,81254.05,81271.13,17.080000000001746,
2026-09-04 00:23:48.595704+00:00,81278.795,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.795,17.071940892350746,0.0009542788598825413,17.070986613490863,8.535970446175373,-0.003989926219219342,81270.25,81287.33,17.080000000001746,
2026-09-04 00:23:49.593000+00:00,81278.785,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.785,17.071940897460276,0.0009542839694126469,17.070986613490863,8.535970448730138,-0.0010649296891642734,81270.24,81287.32,17.080000000001746,
2026-09-04 00:23:50.669946+00:00,81278.785,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.785,17.071940897460276,0.0009542839694126469,17.070986613490863,8.535970448730138,0.003072955325478688,81270.25,81287.33,17.080000000001746,
2026-09-04 00:23:51.592434+00:00,81278.785,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.785,17.071940897460276,0.0009542839694126469,17.070986613490863,8.535970448730138,0.00480354628234636,81270.25,81287.33,17.080000000001746,
2026-09-04 00:23:52.595167+00:00,81278.795,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.795,17.071940892566364,0.0009542790755003131,17.070986613490863,8.535970446283182,0.0038192359352251515,81270.26,81287.34,17.080000000001746,
2026-09-04 00:23:53.602237+00:00,81278.795,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.795,17.0719269276016,0.0009403141107371717,17.070986613490863,8.5359634638008,-0.0012033804378006607,81270.25,81287.33,17.080000000001746,
2026-09-04 00:23:54.595897+00:00,81278.795,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.795,17.0719269276016,0.0009403141107371717,17.070986613490863,8.5359634638008,3.808467590715736e-05,81270.25,81287.34,17.089999999996508,
2026-09-04 00:23:55.595414+00:00,81278.795,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.795,17.0719269276016,0.0009403141107371717,17.070986613490863,8.5359634638008,-0.00026038935175165534,81270.25,81287.34,17.089999999996508,
2026-09-04 00:23:56.596669+00:00,81278.795,0.0,0.0,-0.015425600000014583,-0.015425600000014583,True,True,ok,0,0.0,81278.795,17.0719269276016,0.0009403141107371717,17.070986613490863,8.5359634638008,0.004969259491190314,81270.26,81287.34,17.080000000001746,
