timestamp,side,price,quantity,signed_quantity,fee,p_fill,distance_ticks,mid_price,inventory_before_bucket,inventory_after_bucket,cash_before_bucket,cash_after_bucket,is_terminal_unwind
2026-09-04 00:23:22.580999+00:00,sell,81272.54000000001,0.001,-0.001,0.016254508000000004,0.024833192397490482,854.5000000012806,81263.995,0.0,-0.001,0.0,81.256285492,False
2026-09-04 00:23:39.584735+00:00,buy,81255.46,0.001,0.001,0.016251092,0.024862006494352443,853.499999998894,81263.995,-0.001,0.0,81.256285492,-0.015425600000014583,False
2026-09-04 00:24:04.615036+00:00,sell,81297.45,0.001,-0.001,0.01625949,0.02483319239753239,854.4999999998254,81288.905,0.0,-0.001,-0.015425600000014583,81.26576490999999,False
2026-09-04 00:24:11.614952+00:00,sell,81300.54000000001,0.001,-0.001,0.016260108000000002,0.024833192397490482,854.5000000012806,81291.995,-0.001,-0.002,81.26576490999999,162.550044802,False
2026-09-04 00:24:39.622983+00:00,buy,81280.13,0.001,0.001,0.016256026000000003,0.024833192397574293,854.4999999983702,81288.67499999999,-0.002,-0.001,162.550044802,81.25365877600001,False
2026-09-04 00:24:50.625672+00:00,buy,81270.26,0.001,0.001,0.016254052,0.024862006494310484,853.5000000003492,81278.795,-0.001,0.0,81.25365877600001,-0.03285527599997806,False
2026-09-04 00:24:57.630914+00:00,buy,81261.46,0.001,0.001,0.016252292,0.02483319239753239,854.4999999998254,81270.005,0.0,0.001,-0.03285527599997806,-81.310567568,False
2026-09-04 00:25:12.643521+00:00,sell,81245.6,0.001,-0.001,0.016249120000000002,0.024862006494310484,853.5000000003492,81237.065,0.001,0.0,-81.310567568,-0.0812166879999836,False
2026-09-04 00:26:19.670907+00:00,buy,81167.46,0.001,0.001,0.016233492000000002,0.02483319239753239,854.4999999998254,81176.005,0.0,0.001,-0.0812166879999836,-81.26491017999999,False
2026-09-04 00:26:33.682639+00:00,buy,81165.22,0.001,0.001,0.016233044000000002,0.02483319239753239,854.4999999998254,81173.765,0.001,0.002,-81.26491017999999,-162.44636322399998,False
2026-09-04 00:27:24.707371+00:00,buy,81143.98,0.001,0.001,0.016228796,0.02483319239753239,854.4999999998254,81152.525,0.002,0.003,-162.44636322399998,-243.60657202,False
2026-09-04 00:27:32.711031+00:00,buy,81143.98,0.001,0.001,0.016228796,0.02483319239753239,854.4999999998254,81152.525,0.003,0.004,-243.60657202,-324.766780816,False
2026-09-04 00:28:01.724800+00:00,sell,81158.54000000001,0.001,-0.001,0.016231708000000004,0.024862006494310484,853.5000000003492,81150.005,0.004,0.003,-324.766780816,-243.624472524,False
2026-09-04 00:28:04.749879+00:00,buy,81141.46,0.001,0.001,0.016228292000000002,0.02483319239753239,854.4999999998254,81150.005,0.003,0.004,-243.624472524,-324.782160816,False
2026-09-04 00:28:30.741865+00:00,buy,81141.47,0.001,0.001,0.016228294,0.024862006494310484,853.5000000003492,81150.005,0.004,0.005,-324.782160816,-405.93985911,False
2026-09-04 00:28:48.756065+00:00,buy,81168.82,0.001,0.001,0.016233764,0.024862006494310484,853.5000000003492,81177.35500000001,0.005,0.006,-405.93985911,-487.124912874,False
2026-09-04 00:29:17.767905+00:00,buy,81151.46,0.001,0.001,0.016230292000000004,0.02483319239753239,854.4999999998254,81160.005,0.006,0.007,-487.124912874,-568.292603166,False
2026-09-04 00:29:18.770621+00:00,sell,81168.54000000001,0.001,-0.001,0.016233708000000003,0.024862006494310484,853.5000000003492,81160.005,0.007,0.006,-568.292603166,-487.14029687400006,False
2026-09-04 00:29:29.780683+00:00,sell,81168.54000000001,0.001,-0.001,0.016233708000000003,0.024862006494310484,853.5000000003492,81160.005,0.006,0.005,-487.14029687400006,-405.98799058200007,False
