timestamp,symbol,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,mid_price,spread,request_latency_ms
2026-09-03T22:42:06.884950+00:00,BTCUSDT,81234.61,2.38498,81234.62,0.69785,81234.61499999999,0.0099999999947613,686.3693999999896
2026-09-03T22:42:07.426581+00:00,BTCUSDT,81234.99,9.27616,81235.0,0.12172,81234.995,0.0099999999947613,227.6339999999664
2026-09-03T22:42:08.428232+00:00,BTCUSDT,81238.29,8.0967,81238.3,0.00371,81238.295,0.0100000000093132,228.8614999999936
2026-09-03T22:42:09.427666+00:00,BTCUSDT,81239.57,3.84998,81239.58,0.00371,81239.57500000001,0.0099999999947613,228.1313000000864
2026-09-03T22:42:10.432734+00:00,BTCUSDT,81239.57,1.14399,81239.58,3.17616,81239.57500000001,0.0099999999947613,232.9969999999548
2026-09-03T22:42:11.435576+00:00,BTCUSDT,81239.57,1.14955,81239.58,3.17616,81239.57500000001,0.0099999999947613,235.65099999996164
2026-09-03T22:42:12.435224+00:00,BTCUSDT,81239.58,8.23564,81239.59,0.20013,81239.58499999999,0.0099999999947613,235.01859999998945
2026-09-03T22:42:13.432838+00:00,BTCUSDT,81239.58,8.27036,81239.59,0.36665,81239.58499999999,0.0099999999947613,232.43720000004944
2026-09-03T22:42:14.437725+00:00,BTCUSDT,81239.58,3.21767,81239.59,1.10722,81239.58499999999,0.0099999999947613,236.90769999996064
2026-09-03T22:42:15.435056+00:00,BTCUSDT,81239.58,3.19176,81239.59,1.10327,81239.58499999999,0.0099999999947613,233.4974000000329
2026-09-03T22:42:16.428672+00:00,BTCUSDT,81239.58,3.16801,81239.59,1.25215,81239.58499999999,0.0099999999947613,226.79790000006503
2026-09-03T22:42:17.433477+00:00,BTCUSDT,81239.58,3.20708,81239.59,1.09608,81239.58499999999,0.0099999999947613,231.0842000000548
2026-09-03T22:42:18.432033+00:00,BTCUSDT,81239.58,3.18303,81239.59,1.09496,81239.58499999999,0.0099999999947613,229.3858000000455
2026-09-03T22:42:19.433012+00:00,BTCUSDT,81239.59,3.81593,81239.6,0.36329,81239.595,0.0100000000093132,229.87660000001145
2026-09-03T22:42:20.854985+00:00,BTCUSDT,81239.59,3.76978,81239.6,0.69841,81239.595,0.0100000000093132,240.35589999994045
2026-09-03T22:42:21.843755+00:00,BTCUSDT,81239.59,3.27958,81239.6,0.99246,81239.595,0.0100000000093132,228.7999000000127
2026-09-03T22:42:22.841151+00:00,BTCUSDT,81239.59,0.35125,81239.6,6.76389,81239.595,0.0100000000093132,226.08449999995628
2026-09-03T22:42:23.845215+00:00,BTCUSDT,81224.04,2.00246,81224.05,2.62188,81224.045,0.0100000000093132,229.78809999995065
2026-09-03T22:42:24.841583+00:00,BTCUSDT,81224.04,2.00152,81224.05,2.18568,81224.045,0.0100000000093132,225.55469999997516
2026-09-03T22:42:25.846308+00:00,BTCUSDT,81224.04,1.8499,81224.05,2.00022,81224.045,0.0100000000093132,230.1525999999967
2026-09-03T22:42:26.840624+00:00,BTCUSDT,81224.04,2.19711,81224.05,1.83667,81224.045,0.0100000000093132,224.1186999999627
2026-09-03T22:42:27.843620+00:00,BTCUSDT,81224.04,7.27546,81224.05,0.54848,81224.045,0.0100000000093132,226.81809999994584
2026-09-03T22:42:28.842345+00:00,BTCUSDT,81224.04,7.2827,81224.05,0.97286,81224.045,0.0100000000093132,225.28429999999844
2026-09-03T22:42:29.848971+00:00,BTCUSDT,81224.04,6.79771,81224.05,1.27705,81224.045,0.0100000000093132,231.46969999993416
2026-09-03T22:42:30.845584+00:00,BTCUSDT,81224.04,1.82253,81224.05,1.57134,81224.045,0.0100000000093132,227.98499999998967
2026-09-03T22:42:31.848458+00:00,BTCUSDT,81224.04,2.11745,81224.05,1.55905,81224.045,0.0100000000093132,230.463499999928
2026-09-03T22:42:32.843774+00:00,BTCUSDT,81224.04,2.11977,81224.05,1.553,81224.045,0.0100000000093132,225.5202000000054
2026-09-03T22:42:33.944848+00:00,BTCUSDT,81224.04,2.12101,81224.05,1.4495,81224.045,0.0100000000093132,326.01290000002336
2026-09-03T22:42:34.983026+00:00,BTCUSDT,81218.07,0.31917,81218.08,5.08342,81218.07500000001,0.0099999999947613,363.6457000000064
2026-09-03T22:42:35.967866+00:00,BTCUSDT,81217.0,0.01378,81217.01,9.93513,81217.005,0.0099999999947613,348.4081999999944
2026-09-03T22:42:36.852092+00:00,BTCUSDT,81202.81,0.72032,81202.82,3.53892,81202.815,0.0100000000093132,232.39950000004228
2026-09-03T22:42:37.848248+00:00,BTCUSDT,81200.0,1.12335,81200.01,3.5189,81200.005,0.0099999999947613,227.80169999998637
2026-09-03T22:42:38.848899+00:00,BTCUSDT,81200.0,1.7132,81200.01,2.84403,81200.005,0.0099999999947613,227.96410000000836
2026-09-03T22:42:39.857872+00:00,BTCUSDT,81200.0,1.90022,81200.01,2.44572,81200.005,0.0099999999947613,236.563599999954
2026-09-03T22:42:40.847941+00:00,BTCUSDT,81200.0,1.7287,81200.01,2.53529,81200.005,0.0099999999947613,226.1608000000024
2026-09-03T22:42:41.850275+00:00,BTCUSDT,81200.0,1.58539,81200.01,2.53291,81200.005,0.0099999999947613,228.07990000001155
2026-09-03T22:42:42.854070+00:00,BTCUSDT,81200.0,1.39984,81200.01,2.53291,81200.005,0.0099999999947613,231.256099999996
2026-09-03T22:42:43.851426+00:00,BTCUSDT,81200.0,2.27017,81200.01,1.23226,81200.005,0.0099999999947613,228.1012999999348
2026-09-03T22:42:44.858132+00:00,BTCUSDT,81200.0,2.26934,81200.01,1.33912,81200.005,0.0099999999947613,234.2940999999428
2026-09-03T22:42:45.853416+00:00,BTCUSDT,81196.0,0.03708,81196.01,8.16337,81196.005,0.0099999999947613,229.4397000000572
2026-09-03T22:42:46.855519+00:00,BTCUSDT,81192.0,1.29298,81192.01,2.05353,81192.005,0.0099999999947613,231.0496000000057
2026-09-03T22:42:47.850583+00:00,BTCUSDT,81192.0,6.83446,81192.01,0.07563,81192.005,0.0099999999947613,225.68090000004304
2026-09-03T22:42:48.858777+00:00,BTCUSDT,81192.0,6.89212,81192.01,0.07563,81192.005,0.0099999999947613,233.39880000003177
2026-09-03T22:42:49.855362+00:00,BTCUSDT,81195.9,7.85898,81195.91,0.01277,81195.905,0.0100000000093132,229.73940000008497
2026-09-03T22:42:50.854968+00:00,BTCUSDT,81195.9,7.86205,81195.91,0.43027,81195.905,0.0100000000093132,228.9081000000124
2026-09-03T22:42:51.858735+00:00,BTCUSDT,81195.9,7.86198,81195.91,0.43089,81195.905,0.0100000000093132,232.592899999986
2026-09-03T22:42:52.855879+00:00,BTCUSDT,81195.9,7.87448,81195.91,0.19417,81195.905,0.0100000000093132,229.50459999992745
2026-09-03T22:42:53.853352+00:00,BTCUSDT,81195.9,7.85864,81195.91,0.56894,81195.905,0.0100000000093132,226.8637999999328
2026-09-03T22:42:54.859396+00:00,BTCUSDT,81195.9,2.53535,81195.91,1.03144,81195.905,0.0100000000093132,232.57220000004963
2026-09-03T22:42:55.858038+00:00,BTCUSDT,81195.9,2.53755,81195.91,1.03126,81195.905,0.0100000000093132,230.7045999999673
2026-09-03T22:42:56.872205+00:00,BTCUSDT,81195.9,7.19624,81195.91,0.42004,81195.905,0.0100000000093132,244.53699999992293
2026-09-03T22:42:57.859788+00:00,BTCUSDT,81195.9,7.17874,81195.91,0.42549,81195.905,0.0100000000093132,231.76569999998264
2026-09-03T22:42:58.856534+00:00,BTCUSDT,81195.9,2.34874,81195.91,1.4997,81195.905,0.0100000000093132,228.04000000007815
2026-09-03T22:42:59.858173+00:00,BTCUSDT,81195.9,7.39535,81195.91,0.54024,81195.905,0.0100000000093132,229.29930000009333
2026-09-03T22:43:01.007365+00:00,BTCUSDT,81204.18,3.4912,81204.19,1.67809,81204.185,0.0100000000093132,378.071699999964
2026-09-03T22:43:02.116124+00:00,BTCUSDT,81204.18,4.00132,81204.19,1.19347,81204.185,0.0100000000093132,486.6214000001037
2026-09-03T22:43:02.860993+00:00,BTCUSDT,81204.18,3.57461,81204.19,0.10187,81204.185,0.0100000000093132,231.4221000000316
2026-09-03T22:43:03.858761+00:00,BTCUSDT,81204.18,3.57156,81204.19,0.64662,81204.185,0.0100000000093132,228.89359999999212
2026-09-03T22:43:04.856881+00:00,BTCUSDT,81204.18,3.42378,81204.19,0.76838,81204.185,0.0100000000093132,226.9627999999102
2026-09-03T22:43:05.861102+00:00,BTCUSDT,81204.18,3.41878,81204.19,0.5912,81204.185,0.0100000000093132,230.8788999999933
2026-09-03T22:43:06.856340+00:00,BTCUSDT,81216.33,2.03178,81216.34,1.78592,81216.33499999999,0.0099999999947613,225.6807999999637
2026-09-03T22:43:07.856831+00:00,BTCUSDT,81213.73,0.31002,81213.74,7.23475,81213.735,0.0100000000093132,225.7435000000214
2026-09-03T22:43:08.858096+00:00,BTCUSDT,81213.73,0.568,81213.74,7.22867,81213.735,0.0100000000093132,226.63699999998244
2026-09-03T22:43:09.859917+00:00,BTCUSDT,81213.73,1.88823,81213.74,2.30096,81213.735,0.0100000000093132,228.10409999999592
2026-09-03T22:43:10.863658+00:00,BTCUSDT,81213.73,1.56844,81213.74,2.3054,81213.735,0.0100000000093132,231.65259999996124
2026-09-03T22:43:11.869206+00:00,BTCUSDT,81213.73,1.42083,81213.74,2.29775,81213.735,0.0100000000093132,236.78660000007312
2026-09-03T22:43:12.870262+00:00,BTCUSDT,81213.73,1.42055,81213.74,2.29327,81213.735,0.0100000000093132,237.34569999999167
2026-09-03T22:43:13.861979+00:00,BTCUSDT,81213.73,1.53846,81213.74,2.29327,81213.735,0.0100000000093132,228.76669999993737
2026-09-03T22:43:14.862216+00:00,BTCUSDT,81213.73,1.5227,81213.74,2.3569,81213.735,0.0100000000093132,228.7400999999818
2026-09-03T22:43:15.868705+00:00,BTCUSDT,81213.73,0.9816,81213.74,2.36381,81213.735,0.0100000000093132,234.93280000002412
2026-09-03T22:43:16.865304+00:00,BTCUSDT,81213.73,1.29028,81213.74,2.35042,81213.735,0.0100000000093132,231.33209999991777
2026-09-03T22:43:17.866098+00:00,BTCUSDT,81213.73,1.17182,81213.74,2.34763,81213.735,0.0100000000093132,231.61830000003647
2026-09-03T22:43:38.375396+00:00,BTCUSDT,81185.17,0.50412,81185.18,3.3911,81185.17499999999,0.00999999999476131,884.1577999999117
2026-09-03T22:43:38.724982+00:00,BTCUSDT,81185.17,0.71995,81185.18,3.3918,81185.17499999999,0.00999999999476131,233.53470000006382
2026-09-03T22:43:39.719162+00:00,BTCUSDT,81185.17,0.47864,81185.18,3.39099,81185.17499999999,0.00999999999476131,227.21160000003238
2026-09-03T22:43:40.723607+00:00,BTCUSDT,81182.47,0.3678,81182.48,2.56408,81182.475,0.00999999999476131,231.46320000000742
2026-09-03T22:43:41.725014+00:00,BTCUSDT,81182.47,0.50391,81182.48,2.12392,81182.475,0.00999999999476131,232.34790000003613
2026-09-03T22:43:42.725144+00:00,BTCUSDT,81182.47,2.1112,81182.48,1.7522,81182.475,0.00999999999476131,232.123500000057
2026-09-03T22:43:43.721457+00:00,BTCUSDT,81182.47,2.47213,81182.48,0.45814,81182.475,0.00999999999476131,228.19400000003043
2026-09-03T22:43:44.726204+00:00,BTCUSDT,81182.47,6.91957,81182.48,0.42201,81182.475,0.00999999999476131,232.51670000001923
2026-09-03T22:43:45.721566+00:00,BTCUSDT,81182.47,6.8836,81182.48,0.35098,81182.475,0.00999999999476131,227.29839999999513
2026-09-03T22:43:46.726238+00:00,BTCUSDT,81187.67,3.75211,81187.68,1.6399,81187.67499999999,0.00999999999476131,231.58200000000306
2026-09-03T22:43:47.718732+00:00,BTCUSDT,81187.67,3.66065,81187.68,0.50629,81187.67499999999,0.00999999999476131,223.9263999999821
2026-09-03T22:43:48.719707+00:00,BTCUSDT,81187.67,8.10073,81187.68,0.39793,81187.67499999999,0.00999999999476131,224.57940000003873
2026-09-03T22:43:49.725252+00:00,BTCUSDT,81187.67,3.65798,81187.68,0.66462,81187.67499999999,0.00999999999476131,229.630899999961
