timestamp,mid_price,inventory,cash,pnl,quote_bid,quote_ask,risk_reason,n_fills,reservation_price,optimal_spread,half_spread,bid_price,ask_price,quote_spread
2026-04-28 23:43:30.243134+00:00,76300.715,0.0,0.0,0.0,False,True,bid_blocked,0,76300.715,8.785541497182574,4.392770748591287,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:31.525989+00:00,76300.715,0.0,0.0,0.0,False,True,bid_blocked,0,76300.715,8.785541497182574,4.392770748591287,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:32.826526+00:00,76300.715,0.0,0.0,0.0,False,True,bid_blocked,0,76300.715,8.785541497182574,4.392770748591287,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:34.109225+00:00,76300.715,0.0,0.0,0.0,False,True,bid_blocked,0,76300.715,8.785541497182574,4.392770748591287,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:35.372211+00:00,76300.715,0.0,0.0,0.0,False,True,bid_blocked,0,76300.715,8.785541497182574,4.392770748591287,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:36.670824+00:00,76300.715,0.0,0.0,0.0,False,True,bid_blocked,0,76300.715,8.785541497182574,4.392770748591287,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:37.949882+00:00,76300.715,0.0,0.0,0.0,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:39.216488+00:00,76300.715,0.0,0.0,0.0,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.31,76305.11,8.80000000000291
2026-04-28 23:43:40.485686+00:00,76300.715,0.0,0.0,0.0,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:41.759434+00:00,76300.715,0.0,0.0,0.0,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:43.040405+00:00,76300.715,0.0,0.0,0.0,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:44.308547+00:00,76300.715,-0.001,76.3043469489,0.003631948900007842,True,True,ok,1,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:45.607621+00:00,76300.715,-0.001,76.3043469489,0.003631948900007842,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:46.890731+00:00,76300.715,-0.001,76.3043469489,0.003631948900007842,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:48.180737+00:00,76300.715,-0.001,76.3043469489,0.003631948900007842,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:49.470794+00:00,76300.715,-0.001,76.3043469489,0.003631948900007842,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:50.728099+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,1,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:52.027150+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:53.320349+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:54.592076+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718075,4.392770748590375,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:55.874413+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718013,4.392770748590065,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:57.154254+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718013,4.392770748590065,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:58.415451+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718013,4.392770748590065,76296.32,76305.11,8.789999999993597
2026-04-28 23:43:59.685081+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.78554149718013,4.392770748590065,76296.32,76305.11,8.789999999993597
2026-04-28 23:44:00.958966+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.785541497176164,4.392770748588082,76296.32,76305.11,8.789999999993597
2026-04-28 23:44:02.239278+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:03.520101+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:04.802360+00:00,76300.715,-0.002,152.6086938978,0.007263897800015684,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:06.076279+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,1,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:07.411455+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:08.691480+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:09.974463+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:11.271538+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:12.561385+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:13.839680+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
2026-04-28 23:44:15.157820+00:00,76300.715,-0.003,228.9130408467,0.010895846700009315,True,True,ok,0,76300.715,8.785541497148357,4.392770748574178,76296.31,76305.11,8.80000000000291
